sqft,bedrooms,bathrooms,clean_type,clutter,fridge,oven,labor_hours,clock_hours,rate_check_hours,price,solo_label,solo_hours,solo_price
800,1,3,standard,high,yes,yes,2.75,1.38,7.23,125,SOLO STANDARD,2.75,125
800,1,3,deep,low,no,no,3.21,1.6,2.15,145,SOLO DEEP,3.21,145
800,1,3,deep,low,no,yes,3.84,1.92,4.25,175,SOLO DEEP,3.84,175
800,1,3,deep,low,yes,no,2.9,1.45,3.85,130,SOLO DEEP,2.9,130
800,1,3,deep,low,yes,yes,3.53,1.76,5.95,160,SOLO DEEP,3.53,160
800,1,3,deep,medium,no,no,3.5,1.75,2.78,160,SOLO DEEP,3.5,160
800,1,3,deep,medium,no,yes,4.13,2.07,4.88,185,SOLO DEEP,4.13,185
800,1,3,deep,medium,yes,no,3.19,1.6,4.48,145,SOLO DEEP,3.19,145
800,1,3,deep,medium,yes,yes,3.82,1.91,6.58,170,SOLO DEEP,3.82,170
800,1,3,deep,high,no,no,4.23,2.11,6.89,190,SOLO DEEP,4.23,190
800,1,3,deep,high,no,yes,4.86,2.43,8.99,220,SOLO DEEP,4.86,220
800,1,3,deep,high,yes,no,3.92,1.96,8.59,175,SOLO DEEP,3.92,175
800,1,3,deep,high,yes,yes,4.54,2.27,10.69,205,SOLO DEEP,4.54,205
800,1,4,standard,low,no,no,1.57,0.78,1.07,70,SOLO STANDARD,1.57,70
800,1,4,standard,low,no,yes,2.2,1.1,3.17,100,SOLO STANDARD,2.2,100
800,1,4,standard,low,yes,no,1.26,0.63,2.77,55,SOLO STANDARD,1.26,55
800,1,4,standard,low,yes,yes,1.88,0.94,4.87,85,SOLO STANDARD,1.88,85
800,1,4,standard,medium,no,no,1.86,0.93,1.38,85,SOLO STANDARD,1.86,85
800,1,4,standard,medium,no,yes,2.49,1.25,3.48,110,SOLO STANDARD,2.49,110
800,1,4,standard,medium,yes,no,1.55,0.78,3.08,70,SOLO STANDARD,1.55,70
800,1,4,standard,medium,yes,yes,2.18,1.09,5.18,100,SOLO STANDARD,2.18,100
800,1,4,standard,high,no,no,2.58,1.29,3.43,115,SOLO STANDARD,2.58,115
800,1,4,standard,high,no,yes,3.21,1.61,5.53,145,SOLO STANDARD,3.21,145
800,1,4,standard,high,yes,no,2.27,1.14,5.13,100,SOLO STANDARD,2.27,100
800,1,4,standard,high,yes,yes,2.9,1.45,7.23,130,SOLO STANDARD,2.9,130
800,1,4,deep,low,no,no,3.36,1.68,2.15,150,SOLO DEEP,3.36,150
800,1,4,deep,low,no,yes,3.99,1.99,4.25,180,SOLO DEEP,3.99,180
800,1,4,deep,low,yes,no,3.05,1.52,3.85,135,SOLO DEEP,3.05,135
800,1,4,deep,low,yes,yes,3.68,1.84,5.95,165,SOLO DEEP,3.68,165
800,1,4,deep,medium,no,no,3.65,1.83,2.78,165,SOLO DEEP,3.65,165
800,1,4,deep,medium,no,yes,4.28,2.14,4.88,195,SOLO DEEP,4.28,195
800,1,4,deep,medium,yes,no,3.34,1.67,4.48,150,SOLO DEEP,3.34,150
800,1,4,deep,medium,yes,yes,3.97,1.99,6.58,180,SOLO DEEP,3.97,180
800,1,4,deep,high,no,no,4.38,2.19,6.89,195,SOLO DEEP,4.38,195
800,1,4,deep,high,no,yes,5.01,2.5,8.99,225,SOLO DEEP,5.01,225
800,1,4,deep,high,yes,no,4.07,2.03,8.59,185,SOLO DEEP,4.07,185
800,1,4,deep,high,yes,yes,4.69,2.35,10.69,210,SOLO DEEP,4.69,210
800,1,5,standard,low,no,no,1.72,0.86,1.07,75,SOLO STANDARD,1.72,75
800,1,5,standard,low,no,yes,2.35,1.17,3.17,105,SOLO STANDARD,2.35,105
800,1,5,standard,low,yes,no,1.41,0.7,2.77,65,SOLO STANDARD,1.41,65
800,1,5,standard,low,yes,yes,2.04,1.02,4.87,90,SOLO STANDARD,2.04,90
800,1,5,standard,medium,no,no,2.01,1.01,1.38,90,SOLO STANDARD,2.01,90
800,1,5,standard,medium,no,yes,2.64,1.32,3.48,120,SOLO STANDARD,2.64,120
